# {'integration_time_us': 10000, 'end_index': 998, 'start_index': 50}
2.310837162806080016e+02,2.395019999999999982e+03,1.264752940300990280e+00
2.318877544995400797e+02,2.395699999999999818e+03,1.367479433117734455e+00
2.326917212762363363e+02,2.395320000000000164e+03,1.599249824136304232e+00
2.334956166061837735e+02,2.395329999999999927e+03,1.463249807790863777e+00
2.342994404848692795e+02,2.395519999999999982e+03,1.403424383427906763e+00
2.351031929077797713e+02,2.395320000000000164e+03,1.434433686163288701e+00
2.359068738704021939e+02,2.395630000000000109e+03,1.390359665698052138e+00
2.367104833682235210e+02,2.395570000000000164e+03,1.607824617301277570e+00
2.375140213967306408e+02,2.395460000000000036e+03,1.458903697986950521e+00
2.383174879514104987e+02,2.395610000000000127e+03,1.593078780224003843e+00
2.391208830277500113e+02,2.395500000000000000e+03,1.424780684877500647e+00
2.399242066212361237e+02,2.395739999999999782e+03,1.553190265228313827e+00
2.407274587273557813e+02,2.395519999999999982e+03,1.493184516394407524e+00
2.415306393415959008e+02,2.395710000000000036e+03,1.313735133122350351e+00
2.423337484594434272e+02,2.395539999999999964e+03,1.374190670904150702e+00
2.431367860763852491e+02,2.395840000000000146e+03,1.514727698300918801e+00
2.439397521879083683e+02,2.395400000000000091e+03,1.523154621172781553e+00
2.447426467894996449e+02,2.395380000000000109e+03,1.440694277076160157e+00
2.455454698766460524e+02,2.395340000000000146e+03,1.457532160880163685e+00
2.463482214448345360e+02,2.395750000000000000e+03,1.437880384454840454e+00
2.471509014895520124e+02,2.395469999999999800e+03,1.465980900284856947e+00
2.479535100062853985e+02,2.395460000000000036e+03,1.551902058765307402e+00
2.487560469905216110e+02,2.395530000000000200e+03,1.552127572076470674e+00
2.495585124377476518e+02,2.395550000000000182e+03,1.779747173055768572e+00
2.503609063434503810e+02,2.395630000000000109e+03,1.501032977652389633e+00
2.511632287031167721e+02,2.395730000000000018e+03,1.522202351857334435e+00
2.519654795122337134e+02,2.395659999999999854e+03,1.491442255000172468e+00
2.527676587662881786e+02,2.395690000000000055e+03,1.460787458872782274e+00
2.535697664607671129e+02,2.395679999999999836e+03,1.295221988695374193e+00
2.543718025911574045e+02,2.395719999999999800e+03,1.575309493401217287e+00
2.551737671529460272e+02,2.395469999999999800e+03,1.479560745626890439e+00
2.559756601416198691e+02,2.395739999999999782e+03,1.418590850104426426e+00
2.567774815526658472e+02,2.395619999999999891e+03,1.433736377441822363e+00
2.575792313815709917e+02,2.395599999999999909e+03,1.581138830084189761e+00
2.583809096238221059e+02,2.395630000000000109e+03,1.559839735357450019e+00
2.591825162749062770e+02,2.395940000000000055e+03,1.398713694792469209e+00
2.599840513303103080e+02,2.395800000000000182e+03,1.385640646055102065e+00
2.607855147855211158e+02,2.396010000000000218e+03,1.252956503634503616e+00
2.615869066360257875e+02,2.395599999999999909e+03,1.272792206135785698e+00
2.623882268773110695e+02,2.395800000000000182e+03,1.469693845669907128e+00
2.631894755048640491e+02,2.396079999999999927e+03,1.316662447250623202e+00
2.639906525141715292e+02,2.395719999999999800e+03,1.400571312000927549e+00
2.647917579007204836e+02,2.395800000000000182e+03,1.456021977856103877e+00
2.655927916599978857e+02,2.395610000000000127e+03,1.529019293534257695e+00
2.663937537874906525e+02,2.396059999999999945e+03,1.535057002198941145e+00
2.671946442786857006e+02,2.395750000000000000e+03,1.525614630239235714e+00
2.679954631290700036e+02,2.395800000000000182e+03,1.489966442575134220e+00
2.687962103341304783e+02,2.395880000000000109e+03,1.328758819349846965e+00
2.695968858893539846e+02,2.395599999999999909e+03,1.399999999999999911e+00
2.703974897902274961e+02,2.395619999999999891e+03,1.528266992380585165e+00
2.711980220322380433e+02,2.395699999999999818e+03,1.410673597966588755e+00
2.719984826108723723e+02,2.395920000000000073e+03,1.368795090581493845e+00
2.727988715216175706e+02,2.395800000000000182e+03,1.449137674618943938e+00
2.735991887599604979e+02,2.395599999999999909e+03,1.435270009440732464e+00
2.743994343213880143e+02,2.395710000000000036e+03,1.675082087540786580e+00
2.751996082013872638e+02,2.396030000000000200e+03,1.388920444085981254e+00
2.759997103954450495e+02,2.395960000000000036e+03,1.385063175454462669e+00
2.767997408990482313e+02,2.395909999999999854e+03,1.428950663948899136e+00
2.775996997076838397e+02,2.395860000000000127e+03,1.414354976658971808e+00
2.783995868168387915e+02,2.395909999999999854e+03,1.549806439527207313e+00
2.791994022220000033e+02,2.395789999999999964e+03,1.351258672497608559e+00
2.799991459186544489e+02,2.395969999999999800e+03,1.345027880751919369e+00
2.807988179022890449e+02,2.395840000000000146e+03,1.579366961791970558e+00
2.815984181683906513e+02,2.395800000000000182e+03,1.630950643030009140e+00
2.823979467124461848e+02,2.395809999999999945e+03,1.635206408989397175e+00
2.831974035299427896e+02,2.396079999999999927e+03,1.383329317263246594e+00
2.839967886163670983e+02,2.395909999999999854e+03,1.357166165213383069e+00
2.847961019672063685e+02,2.395969999999999800e+03,1.212064354727091064e+00
2.855953435779472898e+02,2.395809999999999945e+03,1.270393639782567696e+00
2.863945134440768356e+02,2.395829999999999927e+03,1.483610461003831205e+00
2.871936115610819797e+02,2.395869999999999891e+03,1.641066726248509244e+00
2.879926379244497525e+02,2.395969999999999800e+03,1.330075185844770136e+00
2.887915925296668433e+02,2.395820000000000164e+03,1.545186072937495991e+00
2.895904753722203395e+02,2.396019999999999982e+03,1.503196593929084335e+00
2.903892864475972146e+02,2.395940000000000055e+03,1.377098398808160873e+00
2.911880257512842718e+02,2.396010000000000218e+03,1.596840630745598011e+00
2.919866932787684846e+02,2.396090000000000146e+03,1.273538377906217489e+00
2.927852890255368834e+02,2.396329999999999927e+03,1.483610461003831205e+00
2.935838129870763282e+02,2.395690000000000055e+03,1.460787458872782274e+00
2.943822651588737358e+02,2.395920000000000073e+03,1.610465771135791702e+00
2.951806455364160229e+02,2.396010000000000218e+03,1.452549482806007486e+00
2.959789541151902199e+02,2.395989999999999782e+03,1.552385261460569321e+00
2.967771908906830731e+02,2.395840000000000146e+03,1.278436545159750803e+00
2.975753558583816698e+02,2.396070000000000164e+03,1.550838482885951608e+00
2.983734490137729267e+02,2.395900000000000091e+03,1.438749456993815956e+00
2.991714703523437606e+02,2.395940000000000055e+03,1.317725312802330739e+00
2.999694198695810883e+02,2.395960000000000036e+03,1.489429420952869343e+00
3.007672975609717696e+02,2.395969999999999800e+03,1.252637218032419675e+00
3.015651034220029487e+02,2.396059999999999945e+03,1.468468590062450341e+00
3.023628374481613719e+02,2.396280000000000200e+03,1.304453908729626077e+00
3.031604996349340126e+02,2.396170000000000073e+03,1.449517160988444520e+00
3.039580899778078447e+02,2.396119999999999891e+03,1.478377489006106105e+00
3.047556084722697278e+02,2.396119999999999891e+03,1.423235749972575404e+00
3.055530551138066357e+02,2.396320000000000164e+03,1.495860956105212303e+00
3.063504298979054852e+02,2.395900000000000091e+03,1.374772708486752038e+00
3.071477328200533066e+02,2.396039999999999964e+03,1.469149413776556390e+00
3.079449638757367893e+02,2.395860000000000127e+03,1.208470107201663479e+00
3.087421230604431912e+02,2.395969999999999800e+03,1.465980900284856947e+00
3.095392103696592585e+02,2.396070000000000164e+03,1.491676908717165739e+00
3.103362257988718511e+02,2.395920000000000073e+03,1.514463601411404126e+00
3.111331693435679995e+02,2.396440000000000055e+03,1.366162508635045514e+00
3.119300409992346772e+02,2.396000000000000000e+03,1.549193338482966809e+00
3.127268407613587442e+02,2.396239999999999782e+03,1.456845908117945232e+00
3.135235686254271741e+02,2.396070000000000164e+03,1.537888162383728163e+00
3.143202245869268836e+02,2.395949999999999818e+03,1.336974195712093971e+00
3.151168086413447895e+02,2.396190000000000055e+03,1.540746572282411408e+00
3.159133207841677518e+02,2.396170000000000073e+03,1.456399670420176928e+00
3.167097610108829144e+02,2.396280000000000200e+03,1.378985134075055852e+00
3.175061293169770238e+02,2.396050000000000182e+03,1.314343942809491628e+00
3.183024256979371103e+02,2.396289999999999964e+03,1.531633115338004059e+00
3.190986501492500338e+02,2.396130000000000109e+03,1.665262742032019183e+00
3.198948026664027111e+02,2.396340000000000146e+03,1.401570547635758279e+00
3.206908832448821727e+02,2.396050000000000182e+03,1.388344337691482355e+00
3.214868918801753352e+02,2.395929999999999836e+03,1.550838482885951608e+00
3.222828285677690019e+02,2.395889999999999873e+03,1.599343615362252224e+00
3.230786933031503168e+02,2.396170000000000073e+03,1.414602417642497834e+00
3.238744860818059692e+02,2.396079999999999927e+03,1.534144712861208459e+00
3.246702068992230465e+02,2.396199999999999818e+03,1.549193338482966809e+00
3.254658557508884087e+02,2.396409999999999854e+03,1.342348687934695750e+00
3.262614326322891429e+02,2.396409999999999854e+03,1.517201370945860939e+00
3.270569375389120523e+02,2.396099999999999909e+03,1.526433752247374764e+00
3.278523704662439968e+02,2.396170000000000073e+03,1.342050669684270892e+00
3.286477314097720637e+02,2.396289999999999964e+03,1.589308025525574264e+00
3.294430203649830560e+02,2.395940000000000055e+03,1.508774337003383925e+00
3.302382373273640042e+02,2.396210000000000036e+03,1.423341139713174774e+00
3.310333822924017682e+02,2.395929999999999836e+03,1.274794101021808235e+00
3.318284552555833216e+02,2.396389999999999873e+03,1.420528070824367717e+00
3.326234562123955811e+02,2.396059999999999945e+03,1.468468590062450341e+00
3.334183851583254636e+02,2.396369999999999891e+03,1.578955350857015105e+00
3.342132420888599995e+02,2.396329999999999927e+03,1.400392802038056717e+00
3.350080269994859918e+02,2.396280000000000200e+03,1.556149093114152615e+00
3.358027398856904142e+02,2.396079999999999927e+03,1.368795090581493845e+00
3.365973807429602971e+02,2.396119999999999891e+03,1.343726162579265804e+00
